Time,Site,Live/Recording,Activity,Studio,"Machine
Type","Machine
Name","Show
Duration",Outlet,"Test
Playlist",Description,Notes
05:50,Plymouth,Recording,Loading in Studio,Plymouth,Playout,F1-D0N343675,Varies,BBC One Plymouth,0,Also clipped/delivered by presenter or gallery for website,
05:50,Glasgow,Recording,Loading for Edit,N/A,Edit,F1-D0N343658,Varies,BBC One Scotland,1,Also clipped/delivered by presenter or gallery for website,
05:50,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343686,0'10,BBC 1,3,Breakfast headline,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
05:50,Nottingham,Recording,Loading in Studio,Nottingham,Playout,F1-D0N343673,Varies,BBC One Birmingham,0,Also clipped/delivered by presenter or gallery for website,
05:54,Belfast,Recording,Loading in Studio,Belfast,Playout,F1-D0N343685,Varies,BBC One Northern Ireland,1,Also clipped/delivered by presenter or gallery for website,
05:55,Plymouth,Recording,Loading in Studio,Plymouth,Playout,F1-D0N343676,Varies,BBC One Bristol,0,Also clipped/delivered by presenter or gallery for website,
05:57,Cardiff,Recording,Loading in Studio,Cardiff,Playout,F1-D0N343656,Varies,BBC One Wales,1,Also clipped/delivered by presenter or gallery for website,
06:00,Glasgow,Recording,Loading in Studio,Glasgow,Playout,F1-D0N343659,Varies,BBC One Scotland,1,Also clipped/delivered by presenter or gallery for website,
06:00,Leeds,Recording,Loading for Edit,N/A,Edit,F1-D0N343660,0'30,Facebook,0,Published by presenter,
06:00,Leeds,Recording,Loading in Studio,Leeds Weather CSO,Playout,F1-D0N343662,0'35+0'10,BBC One Newcastle,0,Also clipped/delivered by gallery for website,
06:00,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343687,2'15,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
06:00,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,0'10,BBC 1,3,Breakfast headline,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
06:00,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,Varies,BBC One Tunbridge Wells,0,Tunbridge Wells Breakfast + OOV,Also clipped/delivered by presenter or gallery for website
06:00,Nottingham,Recording,Loading for Edit,N/A,Edit,F1-D0N343668,Varies,BBC One Manchester,0,Also clipped/delivered by presenter or gallery for website,
06:00,Plymouth,Recording,Loading in Studio,Plymouth,Playout,F1-D0N343677,Varies,BBC One Southampton,0,Also clipped/delivered by presenter or gallery for website,
06:10,Nottingham,Recording,Loading in Studio,Nottingham,Playout,F1-D0N343674,Varies,BBC One Manchester,0,Also clipped/delivered by presenter or gallery for website,
06:20,Leeds,Recording,Loading in Studio,Leeds Weather CSO,Playout,F1-D0N343662,0'40,BBC Ones Hull and Leeds,0,Also clipped/delivered by gallery for website,
06:25,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343688,2'15,BBC 1,3,Breakfast,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
06:25,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,2'15,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
06:30,Belfast,Live,Loading for Edit,N/A,Edit,F1-D0N343054,Typically <1'00,BBC One Northern Ireland,1,Breakfast ,
06:35,Cardiff,Live,Loading for Edit,N/A,Edit,F1-D0N343655,Typically <1'00,BBC One Wales,1,Breakfast ,
06:40,Leeds,Recording,Loading in Studio,Leeds Weather CSO,Playout,F1-D0N343662,0'30,Facebook,0,Published by presenter,
06:40,Nottingham,Live,Loading for Edit,N/A,Edit,F1-D0N343668,Typically <1'00,BBC One Nottingham,0,Breakfast ,
06:40,Glasgow,Live,Loading for Edit,N/A,Edit,F1-D0N343657,Typically <1'00,BBC One Scotland,1,Breakfast ,
06:45,Leeds,Live,Loading for Edit,N/A,Edit,F1-D0N343660,Typically <1'00,BBC One Leeds,0,Breakfast ,
06:45,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,2'15,BBC 1,3,Breakfast,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
06:50,London - Peel,Live,Loading for Edit,N/A,Edit,F1-D0N343684,Typically <1'00,BBC One London,0,Breakfast ,
06:50,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343689,0'10,BBC 1,3,Breakfast headline,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
06:55,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343690,2'15,BBC 1,3,Breakfast,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
06:55,Plymouth,Live,Loading for Edit,N/A,Edit,F1-D0N343672,Typically <1'00,BBC One Plymouth,0,Breakfast ,
06:57,Belfast,Live,Loading in Studio,Belfast,Playout,F1-D0N343685,Typically <1'00,BBC One Northern Ireland,1,Breakfast ,
06:57,Cardiff,Live,Loading in Studio,Cardiff,Playout,F1-D0N343656,Typically <1'00,BBC One Wales,1,Breakfast ,
06:57,Glasgow,Live,Loading in Studio,Glasgow,Playout,F1-D0N343659,Typically <1'00,BBC One Scotland,1,Breakfast ,
06:57,Leeds,Live,Loading in Studio,Leeds,Playout,F1-D0N343661,Typically <1'00,BBC One Leeds,0,Breakfast ,
06:57,London - Peel,Live,Loading in Studio,London,Playout,F1-D0N343705,Typically <1'00,BBC One London,0,Breakfast ,
06:57,Plymouth,Live,Loading in Studio,Plymouth,Playout,F1-D0N343670,Typically <1'00,BBC One Plymouth,0,Breakfast ,
07:00,Leeds,Recording,Loading in Studio,Leeds Weather CSO,Playout,F1-D0N343662,0'30,Facebook,0,Published by presenter,
07:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343687,2'00,BBC News,3,UK 2'00,
07:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343688,2'30,BBC News and website,3,UK 2'30,
07:00,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,0'10,BBC 1,3,Breakfast headline,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
07:00,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,2'00,BBC News,3,UK 2'00,
07:00,Nottingham,Live,Loading in Studio,Nottingham,Playout,F1-D0N343668,Typically <1'00,BBC One Nottingham,0,Breakfast ,
07:10,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343689,1'00,BBC News,3,UK 1'00,
