"Request Time","Test Name","Machine Address","Concurrency","Duration (s)","HTTP Response Code","Timed Out?","Error?"
"2017-02-13 09:10:29.992937609 -0500 EST","open_and_populate_playlist","f1-d0n343711",3,99.115911,200,false,"%!s(<nil>)"
"2017-02-13 09:10:29.993764807 -0500 EST","open_and_populate_playlist","f1-d0n343710",3,99.708021,200,false,"%!s(<nil>)"
"2017-02-13 09:12:13.109175845 -0500 EST","open_and_populate_playlist","f1-d0n343711",3,42.638367,200,false,"%!s(<nil>)"
"2017-02-13 09:12:59.747838291 -0500 EST","open_and_populate_playlist","f1-d0n343711",3,40.215434,200,false,"%!s(<nil>)"
"2017-02-13 09:12:13.702186432 -0500 EST","open_and_populate_playlist","f1-d0n343710",3,100.917164,200,false,"%!s(<nil>)"
"2017-02-13 09:13:43.963601194 -0500 EST","open_and_populate_playlist","f1-d0n343711",3,41.536099,200,false,"%!s(<nil>)"
"2017-02-13 09:10:29.993446925 -0500 EST","open_and_populate_playlist","f1-d0n343709",3,261.680976,0,false,"Get http://f1-d0n343709:34567/weatherpresenter/OpenPlaylist?filepath=%5C%5Cfgbw1apwtr6002%5Cmyshare%5CSoftware%5CDesignModel%5CBBC_automatedTest%5CPlaylists%5CTechnical+Tests%5CHeavy+Show.dpl: read tcp 10.55.209.38:41024->10.55.209.53:34567: read: connection reset by peer"
"2017-02-13 09:13:58.619705941 -0500 EST","open_and_populate_playlist","f1-d0n343710",3,99.764118,200,false,"%!s(<nil>)"
"2017-02-13 09:15:42.384252373 -0500 EST","open_and_populate_playlist","f1-d0n343710",3,102.895296,200,false,"%!s(<nil>)"
